enterprise_id,date,amount,platform,total_funding_amount
7061757587058313983,2022-03-22,1910.5,stock,115000.0
7061757587058313983,2022-03-14,39044.88,stock,115000.0
7061757587058313983,2022-03-26,11035.5,stock,115000.0
4967883010146339226,2021-06-04,49.39,facebook,20000.0
7186097197009479310,2022-03-15,750.0,facebook,80000.0
7186097197009479310,2022-03-15,1000.0,google,80000.0
2843391753880764310,2022-03-15,750.0,facebook,50000.0
4506139269766549584,2022-03-15,500.0,google,30000.0
7186097197009479310,2022-03-15,750.0,facebook,80000.0
3012411838694922459,2022-03-15,225.0,facebook,50000.0
3012411838694922459,2022-03-15,2000.0,other,50000.0
8641573576036899873,2022-03-16,750.0,facebook,30000.0
3012411838694922459,2022-03-16,500.0,google,50000.0
7186097197009479310,2022-03-16,750.0,facebook,80000.0
4506139269766549584,2022-03-16,500.0,google,30000.0
7028414130517003693,2022-03-16,35.58,facebook,25000.0
2843391753880764310,2022-03-16,750.0,facebook,50000.0
7260092488379457339,2022-03-22,3706.73,stock,260000.0
5532025817719410582,2021-06-04,500.0,google,20000.0
7061757587058313983,2022-03-16,7059.36,stock,115000.0
1192305115806033379,2022-03-17,4141.06,stock,50000.0
1688481867018199886,2022-01-31,750.0,facebook,30000.0
2393859298115499884,2022-01-31,500.0,google,15000.0
5822807777852724982,2022-01-31,500.0,google,135000.0
2843391753880764310,2022-03-17,750.0,facebook,50000.0
4506139269766549584,2022-03-17,500.0,google,30000.0
7028414130517003693,2022-03-17,750.0,facebook,25000.0
7186097197009479310,2022-03-17,750.0,facebook,80000.0
2843391753880764310,2022-03-17,500.0,google,50000.0
6744434961582703331,2021-07-01,750.0,facebook,30000.0
7541178542874469297,2021-07-03,750.0,facebook,20000.0
6744434961582703331,2021-07-03,750.0,facebook,30000.0
4967883010146339226,2021-07-04,174.83,facebook,20000.0
3406105452758170778,2021-07-05,500.0,google,35000.0
3406105452758170778,2021-07-05,750.0,facebook,35000.0
4506139269766549584,2022-03-18,500.0,google,30000.0
1271273381396162082,2022-03-18,750.0,facebook,20000.0
7186097197009479310,2022-03-18,750.0,facebook,80000.0
2843391753880764310,2022-03-18,750.0,facebook,50000.0
3012411838694922459,2022-03-18,500.0,google,50000.0
2393859298115499884,2022-03-18,500.0,google,15000.0
7186097197009479310,2022-03-18,750.0,facebook,80000.0
1962992605310743559,2021-07-11,100.0,facebook,10000.0
5822807777852724982,2022-01-28,2746.98,stock,135000.0
5822807777852724982,2022-01-26,6561.99,stock,135000.0
8540365508954448545,2021-07-31,21338.44,google,1000000.0
5822807777852724982,2022-01-26,32494.96,stock,135000.0
5822807777852724982,2022-01-26,3217.45,stock,135000.0
1271273381396162082,2022-03-23,7728.0,stock,20000.0
3406105452758170778,2021-07-15,263.08,facebook,35000.0
2796662849897893108,2022-03-18,50180.0,stock,100000.0
7260092488379457339,2022-03-30,50144.7,stock,260000.0
3406105452758170778,2021-07-21,500.0,google,35000.0
